//DANE ODCZYTYWANE I PODAWANE SĄ CO OKREŚLONĄ PRĘDKOŚĆ W GRZE (DOMYŚLNIE JEST TO CO 0.1s)

Data rozpoczęcia logow: 16.02.2023 21:40:21
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,799999117851257 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -3,59315347671509 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -3,02836084365845 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -2,46356821060181 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -1,89877581596375 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -1,33398401737213 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,769192218780518 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,204400300979614 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,360391676425934 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,28032985329628 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,0907763168215752 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,0184465050697327 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,12766931951046 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,236892133951187 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,346115052700043 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,455337971448898 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,564560770988464 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,594107389450073 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,593068301677704 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,347314894199371 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,54273933172226 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,145951598882675 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,944751679897308 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -1,74355173110962 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -2,54235172271729 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -3,34115171432495 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4,13995170593262 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4,93875169754028 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -5,73755168914795 | Wynik: 1(nieprawidlowy)
-----------------------------------------------------

Data rozpoczęcia logow: 16.02.2023 21:40:29
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
